Thoi_gian,Nhom_van_de,Dia_diem,Muc_do,Nguon_tin,Tin_bai,Tom_tat_noi_dung,
4/12/2023,13,toàn quốc,4,Thời báo Kinh tế Sài Gòn,Xây dựng Luật Đất đai dựa trên tư duy thị trường.,"Luật Đất đai được xây dựng dựa trên tư duy thị trường, khắc phục những bất cập hiện hữu trên cơ sở nguyên tắc, quy luật thị trường.",
4/12/2023,1,toàn quốc,4,Reatimes,Cục trưởng Cục Quản lý công sản chỉ ra bất cập trong chính sách thu tiền sử dụng đất. ,"TS. Nguyễn Tân Thịnh, Cục trưởng Cục Quản lý công sản - Bộ Tài chính",
4/12/2023,3,toàn quốc,4,Diễn đàn doanh nghiệp,Bảo đảm công bằng trong thu hồi đất đ,", luật sư Nguyễn Thanh Hà – Chủ tịch Công ty Luật SBLaw ",
4/12/2023,13,toàn quốc,4,Đầu tư,"Sửa Luật Đất đai, kỳ vọng “phút bù giờ”: Không thể vội vàng “làm tròn” nội dung chưa thống nhất. ",", ông Vũ Hồng Thanh, Chủ nhiệm Ủy ban Kinh tế của Quốc hội ",
4/12/2023,13,toàn quốc,4,Đầu tư,"Sửa Luật Đất đai, kỳ vọng “phút bù giờ”: Còn thời gian, vẫn kiên trì đóng góp. ",Phó chủ tịch Quốc hội Nguyễn Đức Hải ,
5/12/2023,13,toàn quốc,4,Pháp luật TP.HCM,Chưa thông qua dự án Luật Đất đai: Lùi 1 bước để tiến 3 bước!.,"TS Cao Vũ Minh, Trường ĐH Kinh tế - Luật (ĐH Quốc gia TP.HCM) ",
5/12/2023,3,toàn quốc,4,*VietNamPlus ,Góp ý về một điểm trong Luật Đất đai. ,ông Đinh Đức Sinh,
5/12/2023,13,toàn quốc,4,Truyền hình Quốc hội,Dự thảo Luật Đất đai - Thận trọng để lựa chọn những phương án tối ưu,Bà Đoàn Thị Thanh Mỹ - Vụ trưởng Vụ Đất đai (Bộ TN&MT) nêu ý kiến,
6/12/2023,13,toàn quốc,4,meeyland.com,Sửa Luật Đất đai: Mục đích tối cao của phát triển là “vì ai” chứ không phải “bằng cách nào”.,"Luật sư Nguyễn Tiến Lập, Trọng tài viên Trung tâm trọng tài quốc tế Việt Nam",
6/12/2023,1,toàn quốc,4,Đại đoàn kết,Rõ điều kiện để “áp” phương pháp định giá đất.,Ông Lê Minh Nam - Uỷ viên Thường trực Uỷ ban Tài chính ngân sách của Quốc hội ,
7/12/2023,13,toàn quốc,4,"Quochoi.vn, Lao Động, VTV, Kinh tế môi trường ",", Hoàn thiện Luật Đất đai (sửa đổi) trình Quốc hội tại kỳ họp bất thường ","Phát biểu kết luận tại phiên họp Chính phủ thường kỳ sáng 6/12, Thủ tướng Phạm Minh Chính yêu cầu",
7/12/2023,1,toàn quốc,4,VOV.VN,"Bỏ khung giá đất - Bước đột phá trong quản lý, sử dụng đất đai, t","Trong Dự thảo Luật Đất đai (sửa đổi), điểm đáng chú ý là bỏ quy định khung giá đất, thay vào đó quy định cụ thể về nguyên tắc định giá đất phù hợp với giá trị thị trường",
13/12/2023,12,toàn quốc,4,"Thanh niên, Chính phủ",Quốc hội có thể họp bất thường vào giữa tháng 1.2024.,"Chủ tịch Quốc hội Vương Đình Huệ cho biết, Quốc hội có thể sẽ họp bất thường vào trung tuần tháng 1.2024 để xem xét các luật Đất đai, luật Các tổ chức tín dụng và nhiều nội dung quan trọng, cấp bách khác.",
14/12/2023,12,toàn quốc,4,Người lao động,Tiếp tục cho ý kiến đối với dự thảo Luật Đất đai (sửa đổi).,"Sáng 13/12, dưới sự chủ trì của Chủ tịch QH Vương Đình Huệ, Ủy ban Thường vụ QH khai mạc phiên họp thứ 28 để xem xét, quyết định nhiều vấn đề quan trọng. Theo đó, tại phiên họp này, Ủy ban Thường vụ Quốc hội",
18/12/2023,5,toàn quốc,4,Kinh tế nông thôn,"đưa ra Vài ý kiến về quản lý, sử dụng đất nông nghiệp. Theo ","ông Đinh Tấn Phong, nghiên cứu viên Viện Kinh tế - Xã hội thành phố Cần Thơ",
19/12/2023,12,toàn quốc,4,"Thanh niên, Đại biểu nhân dân, Công lý, Dân Việt, Quân đội nhân dân, Đại đoàn kết",Quốc hội sẽ họp bất thường vào 15.1.2024 để thông qua luật Đất đai,"phiên họp 28, Ủy ban Thường vụ Quốc hội cho ý kiến chuẩn bị kỳ họp bất thường lần 5 và bước đầu chuẩn bị kỳ họp 7 Quốc hội khóa XV",
19/12/2023,12,toàn quốc,4,Đầu tư,Tích cực chuẩn bị để có thể thông qua Luật Đất đai sửa đổi vào tháng 1/2024,"phiên họp 28, Ủy ban Thường vụ Quốc hội cho ý kiến chuẩn bị kỳ họp bất thường lần 5 và bước đầu chuẩn bị kỳ họp 7 Quốc hội khóa XV",
19/12/2023,12,toàn quốc,4,Sài Gòn Giải phóng,Lại đề nghị lùi trình dự án Luật Đất đai (sửa đổi),Ủy ban Kinh tế ,
19/12/2023,12,toàn quốc,4,"Diễn đàn doanh nghiệp, VnExpress",Đề nghị chưa thông qua Luật Đất đai sửa đổi tại kỳ họp bất thường ,Ủy ban Kinh tế ,
19/12/2023,12,toàn quốc,4,Quochoi.vn,Yêu cầu dứt khoát dự án Luật Đất đai không được lùi thêm,Chủ tịch Quốc hội Vương Đình Huệ ,
19/12/2023,12,toàn quốc,4,Tuổi trẻ,"Chủ tịch Quốc hội yêu cầu tập trung cao sửa Luật Đất đai, Luật Các tổ chức tín dụng",Chủ tịch Quốc hội Vương Đình Huệ ,
19/12/2023,12,toàn quốc,4,VOV,). Chủ tịch Quốc hội: Làm việc hết công suất để kịp trình thông qua Luật Đất đai,Chủ tịch Quốc hội Vương Đình Huệ ,
20/12/2023,13,toàn quốc,4,Bnews),Cần tiếp tục làm rõ các điểm chưa thống nhất trong Luật Đất đai sửa đổi ,"Phó Chủ tịch VNREA Nguyễn Văn Đính, ",
20/12/2023,5,toàn quốc,4,Thời báo Kinh tế Sài Gòn. ,Chuyển dịch đất nông nghiệp để sản xuất lớn sao cho hiệu quả? ,Ông Đinh Tấn Phong - Viện Kinh tế – Xã hội thành phố Cần Thơ ,
20/12/2023,13,toàn quốc,4,Nghệ An. ,Nhận diện luận điệu đòi bỏ quy định sở hữu toàn dân về đất đai,"các thế lực thù địch sử dụng nhiều thủ đoạn để thực hiện chiến lược diễn biến hoà bình, chống phá Việt Nam. ",
21/12/2023,10,toàn quốc,4,TN&MT). ,Dự thảo Luật Đất đai (sửa đổi): Nhiều đổi mới trong cấp Giấy chứng nhận,"Bà Phạm Thị Thịnh - Trưởng phòng Đăng ký đất đai, Cục Đăng ký và Dữ liệu thông tin đất đai (Bộ TN&MT) ",
21/12/2023,5,toàn quốc,4,Nông nghiệp Việt Nam,Dự thảo Luật Đất đai sửa đổi và những tác động đến ngành nông nghiệp,"Tập trung, tích tụ đất nông nghiệp lần đầu được luật hóa sẽ thúc đẩy việc hình thành các vùng sản xuất nông nghiệp với quy mô lớn hơn; Mở rộng hạn mức, đối tượng nhận chuyển nhượng đất nông nghiệp góp phần thúc đẩy đầu tư vào sản xuất nông nghiệp.",
21/12/2023,3,toàn quốc,4,Công lý. ,"Những điểm đáng lưu ý tại Hội thảo “Cơ chế đền bù, giải phóng mặt bằng, thu hồi đất”","Hội thảo tư vấn phản biện “Cơ chế đền bù, giải phóng mặt bằng, thu hồi đất trong Luật Đất đai sửa đổi” ",
21/12/2023,12,toàn quốc,4,"Quochoi.vn, Công lý",Chủ tịch Quốc hội chủ trì cuộc làm việc về dự án Luật Đất đai (sửa đổi). ,"Sáng 21/12, tại Nhà Quốc hội, Chủ tịch Quốc hội chủ trì cuộc làm việc về dự án Luật Đất đai (sửa đổi). ",
21/12/2023,12,toàn quốc,4,Truyền hình Quốc hội,Đã có cơ sở trình Quốc hội thông qua Luật Đất đai (sửa đổi) trong kỳ họp tháng 1/2024.,"Sáng 21/12, tại Nhà Quốc hội, Chủ tịch Quốc hội chủ trì cuộc làm việc về dự án Luật Đất đai (sửa đổi). ",
22/12/2023,12,toàn quốc,4,"Chính phủ, Đại biểu nhân dân",Chủ tịch Quốc hội chủ trì cuộc làm việc về dự án Luật Đất đai (sửa đổi).,Chủ tịch Quốc hội Vương Đình Huệ ,
22/12/2023,12,toàn quốc,4,(Lao Động,Chủ tịch Quốc hội nhấn mạnh 4 nguyên tắc khi chỉnh lý Luật Đất đai sửa đổi,Chủ tịch Quốc hội Vương Đình Huệ ,
22/12/2023,13,toàn quốc,4,VTV),Dự án Luật Đất đai (sửa đổi): Còn 3 nội dung có ý kiến khác nhau,Chủ tịch Quốc hội Vương Đình Huệ ,
22/12/2023,12,toàn quốc,4,Đầu tư,Tập trung cao độ hoàn thiện Dự thảo Luật Đất đai sửa đổi (,Chủ tịch Quốc hội Vương Đình Huệ ,
25/12/2023,5,toàn quốc,4,VietNamPlus,Hiệp hội Bất động sản TP Hồ Chí Minh nêu kiến nghị về Dự thảo Luật Đất đai.,"tiếp tục góp ý cho Dự thảo Luật Đất Đai (sửa đổi), tại Văn bản số 173/2023/CV- HoREA của Hiệp hội bất động sản Thành phố Hồ Chí Minh (HoREA) gửi Ủy ban Thường vụ, Kinh tế, Pháp luật của Quốc hội và Bộ Tài nguyên và Môi trường.",
25/12/2023,5,toàn quốc,4,"Xây dựng, Reatimes",Cần cho phép nhà đầu tư được thỏa thuận về nhận quyền sử dụng đất.,"HoREA đề nghị sửa đổi điểm b khoản 1, điểm a khoản 4 và khoản 6 Điều 128 để tạo điều kiện cho nhà đầu tư được thỏa thuận về nhận quyền sử dụng đất đối với các loại đất phù hợp quy hoạch để thực hiện dự án nhà ở thương mại.",
27/12/2023,3,toàn quốc,4,Tiền Phong,Kiến nghị Chính phủ quy định việc xử lý đất công xen kẹt khi lập dự án.,"HoREA kiến nghị sửa đổi, bổ sung điểm a khoản 4 Điều 128 Dự thảo Luật Đất đai (sửa đổi) theo hướng giao Chính phủ quy định xử lý các diện tích đất công nằm xen kẽ trong dự án nhà ở thương mại để bảo đảm không làm thất thu ngân sách nhà nước, không làm thất thoát tài sản công là nguồn lực đất đai.",
