Thoigian,Linh_vuc,Chuyen_muc,Dia_diem,Muc_do,Nguon_tin,Tin_bai,Tom_tat_noi_dung
1/12/2023,KTTV -BĐKH,"chính sách, quản lý",toàn quốc,4,"Chính phủ, Tiền phong, Tin tức, Nhân Dân, Lao Động","Thủ tướng Phạm Minh Chính tới Dubai, bắt đầu tham dự COP28 và hoạt động song phương tại UAE","Sau khi kết thúc tốt đẹp chuyến thăm chính thức Thổ Nhĩ Kỳ, tối 30/11 (giờ địa phương), Thủ tướng Phạm Minh Chính cùng Phu nhân Lê Thị Bích Trân và Đoàn đại biểu Việt Nam đã tới sân bay quốc tế Al Maktoum, thành phố Dubai."
1/12/2023,KTTV -BĐKH,"chính sách, quản lý",toàn quốc,4,VOV,"Việt Nam kỳ vọng COP28 sẽ đạt những bước tiến thực chất ứng phó biến đổi khí hậu,",Thứ trưởng Lê Công Thành cho biết.
1/12/2023,KTTV -BĐKH,"chính sách, quản lý",toàn quốc,4,Một Thế giới,Việt Nam tham gia hàng loạt sáng kiến ứng phó biến đổi khí hậu tại COP28,"Thứ trưởng Bộ Tài nguyên và Môi trường Lê Công Thành cho biết, ngay trước khi COP 28 diễn ra, nhiều quốc gia đã mong muốn Việt Nam tham gia vào các Sáng kiến và dự kiến Việt Nam sẽ tham gia các sáng kiến quan trọng tại COP28 lần này, trong đó có Cam kết làm mát toàn cầu và Sáng kiến thực hiện Điều 6 Thỏa thuận Paris…"
1/12/2023,KTTV -BĐKH,"chính sách, quản lý",toàn quốc,4,VietNamPlus,Tham dự COP28: Việt Nam quyết tâm thúc đẩy giảm mạnh phát thải khí nhà kính,"Trao đổi với báo chí, Phó Cục trưởng Cục Biến đổi khí hậu (Bộ Tài nguyên và Môi trường) - ông Phạm Văn Tấn nhấn mạnh, COP28 là dịp để đoàn Việt Nam thể hiện mạnh mẽ thông điệp trách nhiệm, chủ động, tích cực trong tham gia xử lý các thách thức chung toàn cầu về biến đổi khí hậu."
1/12/2023,KTTV -BĐKH,"chính sách, quản lý",toàn quốc,4,VOV,Hội nghị COP28: Khẳng định cam kết ứng phó với biến đổi khí hậu của Việt Nam.,"theo Bộ Tài nguyên và Môi trường, COP 28 là Hội nghị rất quan trọng, diễn ra vào thời điểm then chốt cho hành động toàn cầu về biến đổi khí hậu. Tại đây, các nhà lãnh đạo thế giới sẽ lần đầu tiên đánh giá những mục tiêu đề ra trong Hiệp định Paris về biến đổi khí hậu. COP 28 sẽ có nhiều nội dung quan trọng. Đoàn Việt Nam tham dự đàm phán kỹ thuật tại COP28 do Bộ trưởng Bộ Tài nguyên và Môi trường trực tiếp chỉ đạo sẽ tham dự toàn thời gian diễn ra Hội nghị COP28, bao gồm cả các phiên họp trù bị. Bên cạnh tham gia các hoạt động trao đổi, đàm phán trong khuôn khổ Hội nghị COP28, Đoàn Việt Nam tham dự đàm phán kỹ thuật dự kiến sẽ chủ trì một số sự kiện và tham gia nhiều sự kiện bên lề COP28 nhằm giới thiệu kinh nghiệm và quảng bá thông tin, hình ảnh ứng phó với biến đổi khí hậu của Việt Nam, kêu gọi sự hỗ trợ của quốc tế cho Việt Nam ứng phó với biến đổi khí hậu."
1/12/2023,KTTV -BĐKH,"chính sách, quản lý",toàn quốc,4,Công Thương.,Việt Nam có thể đạt được mục tiêu giảm phát thải ròng bằng “0”.,"UNDP đánh giá cao những nỗ lực của Chính phủ Việt Nam trong việc hiện thực hóa mục tiêu đầy tham vọng nhằm đạt phát thải ròng bằng “0” vào năm 2050. Theo Trưởng đại diện UNDP tại Việt Nam cho rằng, Việt Nam đã đạt được nhiều thành tựu sau Hội nghị các bên tham gia Công ước khung của Liên Hợp Quốc về biến đổi khí hậu lần thứ 26 (COP26), và đề ra những phương hướng nhằm cụ thế hóa mục tiêu đạt phát thải ròng bằng ""0"" vào giữa thế kỷ này."
1/12/2023,KTTV -BĐKH,"chính sách, quản lý",Ninh Bình,4,"Công lý, VOV",Tạm dừng bổ nhiệm lại đối với Phó Giám đốc Sở TN&MT xưng hô thiếu chuẩn mực với người dân.,"Trong đó cho biết dù đã hết nhiệm kỳ 5 năm giữ chức Phó Giám đốc Sở TN&MT Ninh bình, nhưng Ban Tổ chức Tỉnh ủy Ninh Bình đã tạm dừng quy trình bổ nhiệm lại với  ông Nguyễn Tiến Dũng.Thay vào đó sẽ kéo dài chức vụ Phó Giám đốc Sở đến tháng 12/2023, thời gian này sẽ cân nhắc có bổ nhiệm lại hay không. Nguyên nhân của việc tạm dừng trên là do ông Dũng đã có lời lẽ thiếu chuẩn mực với người dân trong khi thi hành công vụ."
1/12/2023,đất đai,"chính sách, quản lý",toàn quốc,4,Đầu tư,"Sửa Luật Đất đai, kỳ vọng “phút bù giờ”: Chất lượng phải được đặt lên hàng đầu.","Trong đó lưu ý dù không thể về đích đúng hẹn, song nhìn lại cả quá trình chuẩn bị và hoàn thiện Dự thảo Luật Đất đai sửa đổi (Dự thảo) cho thấy Quốc hội luôn nhất quán quan điểm chất lượng phải được đặt lên hàng đầu trong công tác xây dựng pháp luật, nhất là với đạo luật đặc biệt quan trọng này."
1/12/2023,đất đai,"chính sách, quản lý",TP.HCM,4,Pháp luật TP.HCM,Cử tri TP.HCM: Cần chế tài nhà đầu tư bỏ cọc khiến 'đất vàng nằm im bất động'.,"cử tri quận Bình Thạnh, TP.HCM đề nghị bổ sung quy định về năng lực của nhà đầu tư tham gia đấu giá vào dự thảo Luật đất đai (sửa đổi), nhằm hạn chế trường hợp bỏ cọc như vụ đấu giá “đất vàng” tại Thủ Thiêm."
1/12/2023,đất đai,"chính sách, quản lý",toàn quốc,4,VnEconomy ,"làm giàu, làm sạch dữ liệu đất đai và thông tin nhà ở.","Chiều 29/11/2023, Thứ trưởng Bộ TN&MT Trần Quý Kiên đã làm việc với Cục Chuyển đổi số và Thông tin dữ liệu tài nguyên môi trường và một số đơn vị trực thuộc Bộ về việc thực hiện Dự án làm giàu, làm sạch dữ liệu về đất đai, thông tin nhà ở trong cơ sở dữ liệu đất đai quốc gia. Bộ TN&MT yêu cầu Cục Chuyển đổi số và Thông tin dữ liệu tài nguyên môi trường xây dựng báo cáo nêu các thuận lợi, khó khăn, trên cơ sở đó làm việc với Bộ Công an thống nhất các giải pháp khắc phục để báo cáo Thủ tướng Chính phủ."
