Thoigian,Linh_vuc,Chuyen_muc,Dia_diem,Muc_do,Nguon_tin,Tin_bai,Link_tin_bai,Tom_tat_noi_dung,Muc_do_ten,Noi_dung_tin_bai,
25/12/2023,địa chất - khoáng sản,"thực trạng, sai phạm",Nghệ An,2,Môi trường & Đô thị,"Nghệ An: Khai thác cát sông Lam, đừng để môi trường bị ảnh hưởng và khoáng sản bị thất thoát.",https://www.moitruongvadothi.vn/nghe-an-khai-thac-cat-song-lam-dung-de-moi-truong-bi-anh-huong-va-khoang-san-bi-that-thoat-a150887.html,"Hoạt động khai thác cát trên sông Lam đoạn qua xã Khánh Sơn, huyện Nam Đàn, tỉnh Nghệ An diễn ra ngoài khung giờ quy định và sát bờ đang sạt lở. Hoạt động này, có nguy cơ gây ảnh hưởng đến môi trường và thất thoáng khoáng sản.",Tiêu cực,Theo dõi MTĐT trên,18
20/12/2023,đất đai,"thực trạng, sai phạm",Hà Tĩnh,2,Đại biểu nhân dân,Cận cảnh gần 4000m2 đất nông nghiệp bị Công ty Cầu đường New Sun san lấp trái phép. ,https://daibieunhandan.vn/doi-song-xa-hoi/can-canh-gan-4000m2-dat-nong-nghiep-bi-cong-ty-cau-duong-new-sun-san-lap-trai-phep-i354551/,Công ty Cầu đường New Sun đã cho máy móc chở đất về san lấp trái phép 3.950m2 đất nông nghiệp của 18 hộ dân tại Hà Tĩnh,Tiêu cực,Báo Đại biểu Nhân dân sẽ tiếp tục thông tin vụ việc này đến bạn đọc và cử tri cả nước,85
28/12/2023,nước,"thực trạng, sai phạm",Phú Thọ,2,Hà Nội mới,"Mực nước sông Hồng, sông Đà ở Phú Thọ xuống mức thấp kỷ lục,",https://hanoimoi.vn/muc-nuoc-song-hong-song-da-o-phu-tho-xuong-muc-thap-ky-luc-654265.html,"khiến các hoạt động vận tải cũng như sản xuất, kinh doanh và đời sống người dân vùng hạ lưu bị ảnh hưởng nghiêm trọng.",Tiêu cực,Mực nước sông Đà sông Hồng chảy qua địa bàn tỉnh Phú Thọ xuống thấp kỷ lục khiến các hoạt động vận tải cũng như sản xuất kinh doanh và đời sống người dân vùng hạ lưu bị ảnh hưởng nghiêm trọng,191
25/12/2023,môi trường,"thực trạng, sai phạm",Hải Phòng,2,Lao Động,"Hàng nghìn tấn rác chậm xử lý, chất cao thành núi.",https://laodong.vn/photo/hang-nghin-tan-rac-cham-xu-ly-chat-cao-thanh-nui-o-ngoai-thanh-hai-phong-1283381.ldo,"ông Vũ Ngọc Ngưng - Chủ tịch UBND xã Kiến Thiết cho biết: Từ đầu năm 2023, do hệ thống xử lý rác của Công ty Cổ phần thương mại du lịch Thành Vinh bị trục trặc nên lượng rác bị tồn đọng do không được xử lý. Đến nay, khối lượng rác thải tồn đọng còn khoảng 3.000-4.000 tấn, trước đó có thời điểm lên tới 6.000 tấn. UBND xã đã yêu cầu đơn vị này khẩn trương khắc phục, xử lý rác để hạn chế ô nhiễm môi trường. Đơn vị cũng cho biết sẽ sớm đưa hệ thống vào vận hành trong một vài ngày tới, phấn đấu qua Tết nguyên đán sẽ xử lý hết khối lượng rác tồn đọng. Trước mắt, đơn vị này cũng cho phun hoá chất khử trùng, phân loại rác thủ công hằng ngày để hạn chế ô nhiễm từ bãi rác.",Tiêu cực,Gần 1 năm nay bãi rác thôn Bắc Phong xã Kiến Thiết Tiên Lãng Hải Phòng trở thành nỗi ám ảnh của người dân địa phương Bãi rác chất thành từng núi mùi rác hôi thối khiến người dân phải nín thở mỗi khi đến gần,206
20/12/2023,đất đai,"thực trạng, sai phạm",TP Đà Nẵng ,2,Lao Động ,"Người dân khu vực dự án thoát lũ của Đà Nẵng không được sửa nhà, tách thửa.",https://laodong.vn/video/nguoi-dan-khu-vuc-du-an-thoat-lu-cua-da-nang-khong-duoc-sua-nha-tach-thua-1281234.ldo,"81 hộ dân tại tổ 89, phường Hoà Xuân, quận Cẩm Lệ, TP Đà Nẵng suốt 10 năm nay không được sửa nhà, xây mới vì nằm trong vùng đệm thoát lũ và khu công viên công cộng, cây xanh công cộng cấp đô thị - hành lang thoát lũ và công viên kết hợp. ",Tiêu cực,81 hộ dân tại tổ 89 phường Hoà Xuân quận Cẩm Lệ TP Đà Nẵng suốt 10 năm nay không được sửa nhà xây mới vì nằm trong vùng đệm thoát lũ và khu công viên công cộng cây xanh công cộng cấp đô thị hành lang thoát lũ và công viên kết hợp,229
13/12/2023,Khí tượng thủy văn - Biến đổi khí hậu,"chính sách, quản lý",toàn quốc,4,Công Thương,VietinBank Cam kết chung tay thúc đẩy tài chính khí hậu,https://congthuong.vn/vietinbank-tai-cop28-cam-ket-chung-tay-thuc-day-tai-chinh-khi-hau-291491.html,"Tham gia Hội nghị lần thứ 28 các bên tham gia Công ước khung của Liên hợp quốc về Biến đổi khí hậu (COP28), VietinBank cam kết",Trung tính,Tham gia Hội nghị lần thứ 28 các bên tham gia Công ước khung của Liên hợp quốc về Biến đổi khí hậu COP28 VietinBank mong muốn chung tay cùng cộng đồng quốc tế thúc đẩy tài chính khí hậu một trong bốn trụ cột của COP28 Cùng nhìn lại những hoạt động ý nghĩa của VietinBank tại COP28 vừa qua,288
20/12/2023,Khí tượng thủy văn - Biến đổi khí hậu,thông tin khác,toàn quốc,4,Thời báo Kinh tế Sài Gòn.,Thỏa thuận hợp tác chuyển dịch năng lượng công bằng (JETP) mang lại lợi ích gì? ,https://thesaigontimes.vn/thoa-thuan-hop-tac-chuyen-dich-nang-luong-cong-bang-jetp-mang-lai-loi-ich-gi/,Hai ngành phát thải nhiều nhất tại Việt Nam là: năng lượng và vận tải cũng là những lĩnh vực chịu ảnh hưởng lớn khi thực hiện Thỏa thuận này,Trung tính,KTSG Online Đầu tháng 12 Thủ tướng Chính phủ Phạm Minh Chính tại hội nghị COP28 Dubai UAE đã công bố kế hoạch huy động nguồn lực cho Thỏa thuận hợp tác chuyển dịch năng lượng công bằng Just Energy Transition Partnership JETP Sự kiện này ghi dấu mốc rất quan trọng trong việc thực hiện quy hoạch điện VIII và mục tiêu chung Net Zero vào năm 2050 của Việt Nam,357
4/12/2023,môi trường,"chính sách, quản lý",Kiên Giang.,4,Sài Gòn Giải phóng ,Phú Quốc gắn camera giám sát người xả rác.,https://www.sggp.org.vn/phu-quoc-gan-camera-giam-sat-nguoi-xa-rac-post716716.html,UBND huyện Phú Quốc (Kiên Giang) phối hợp với Tổ chức quốc tế về bảo tồn thiên nhiên Việt Nam (WWF - Việt Nam) tổ chức lễ ra mắt mô hình “Hệ thống camera giám sát hành vi vi phạm trong lĩnh vực môi trường,Trung tính,Hệ thống với 6 camera giám sát được lắp đặt ở khu vực chợ sân bay cũ dọc bờ sông Dương Đông và 2 sân nổi tại khu vực cửa sông để các phương tiện đánh cá trở về bỏ rác thải sinh hoạt Hệ thống camera không chỉ góp phần nâng cao ý thức của người dân về bảo vệ không gây ô nhiễm môi trường mà còn là cơ sở để xử lý các trường hợp bỏ rác thải sinh hoạt không đúng nơi quy định Dịp này đại diện một số chủ tàu ngư dân khai thác thủy sản cũng ký cam kết không xả rác và thu gom rác thải nhựa TP Phú Quốc cũng phát động chương trình dọn vệ sinh công cộng đô thị và đổi rác thải nhựa lấy quà,582
18/12/2023,thông tin chung,thông tin khác,Đồng Nai ,4,"Tiền phong, Người lao động, An ninh tiền tệ, Sài Gòn Giải phóng, Thanh niên, Tuổi trẻ ",Chánh Thanh tra Sở TN&MT Đồng Nai xin nghỉ việc,https://tienphong.vn/chanh-thanh-tra-so-tai-nguyen-va-moi-truong-dong-nai-xin-nghi-viec-post1596586.tpo,bà Võ Niệm Tường (49 tuổi) - Chánh Thanh tra Sở TN&MT Đồng Nai xin nghỉ việc vì lý do cá nhân,Trung tính,Ngày 17 12 ông Đặng Minh Đức Giám đốc Sở TN MT tỉnh Đồng Nai cho biết bà Võ Niệm Tường 49 tuổi Chánh Thanh tra Sở đã gửi đơn xin nghỉ việc vì lý do cá nhân Sở TN MT Đồng Nai Theo đó vào tháng 11 bà Võ Niệm Tường đã gửi đơn xin nghỉ việc từ ngày 1 1 2024 Bà Tường từng giữ các chức vụ Trưởng phòng khoáng sản Chi cục trưởng Chi cục Bảo vệ môi trường thuộc Sở TN MT Đồng Nai Giám đốc Sở TN MT Đồng Nai cho biết sở đang giải quyết đơn theo thủ tục và bố trí nhân sự đảm nhiệm vị trí của bà Tường Cũng trong năm 2023 hai cán bộ của Sở TN MT Đồng Nai là ông T T D Phó Chánh thanh tra sở và ông P H N Trưởng phòng cũng đã nộp đơn xin nghỉ việc,637
27/12/2023,đất đai,"chính sách, quản lý",Bạc Liêu,4,"Sài Gòn Giải phóng, Dân trí",Vụ hai ngôi nhà nằm giữa đường 20 năm ở Bạc Liêu: Hộ dân đồng ý giao mặt bằng.,https://www.sggp.org.vn/vu-hai-ngoi-nha-nam-giua-duong-20-nam-o-bac-lieu-ho-dan-dong-y-giao-mat-bang-post720070.html,"ngày 26-12, liên quan đến vụ ngôi nhà nằm giữa đường 20 năm, bà Lê Kim Thúy, Chủ tịch UBND TP Bạc Liêu (tỉnh Bạc Liêu) cho biết, chủ nhà đã thống nhất di dời chỗ ở, tháo dỡ công trình, giao mặt bằng để chính quyền địa phương hoàn thiện tuyến đường.",Trung tính,Trong hôm nay đơn vị thi công đã phát quang dọn dẹp mặt bằng Theo kế hoạch sẽ thi công hoàn thành và thông tuyến trước tết Nguyên đán bà Lê Kim Thúy thông tin thêm Dự án đầu tư xây dựng tuyến đường Võ Văn Kiệt trước đây là đường Hùng Vương phường 1 TP Bạc Liêu vào Khu hành chính tỉnh Bạc Liêu triển khai từ năm 2003 Dự án có 62 hộ dân bị ảnh hưởng nhưng có 2 hộ khiếu nại kéo dài không chịu giao mặt bằng Nhà của 2 hộ dân nói trên nằm chắn ngang một phần mặt đường gây cản trở giao thông Đến tháng 7 2023 gia đình ông Đỗ Thành Hưng đã bàn giao mặt bằng còn hộ bà Nguyễn Thị Hường chưa bàn giao và yêu cầu bồi thường tăng về giá chỉ số sinh lợi Sau khi được vận động tuyên truyền và giải quyết thỏa đáng nay hộ bà Hường đã giao mặt bằng,736
